name_x,address_x,number,distancia,name_y,address_y,activate,no_available,total_bases,dock_bikes,free_bases,longitude,latitude
Serrano 210,"Calle Serrano nº 210,",148,376,Serrano 210,"Calle Serrano nº 210,",1,0,23,5,18,-3.6813971,40.451117
Serrano 210,"Calle Serrano nº 210,",147,376,Doctor Arce 45,"Avenida del Doctor Arce nº 45,",1,0,23,3,20,-3.6794,40.4484
Plaza de Quito,"Paseo de la Habana nº 42,",149,331,Plaza de Quito,"Paseo de la Habana nº 42,",1,0,23,10,13,-3.6879303,40.4498515
Plaza de Quito,"Paseo de la Habana nº 42,",150,331,Castellana,"Paseo de la castellana, 124 ,",1,0,23,8,15,-3.6908,40.4491
Orense 12,"Calle Orense nº 12,",151,220,Orense 12,"Calle Orense nº 12,",1,0,27,4,23,-3.6953592650123657,40.44881224951987
Orense 12,"Calle Orense nº 12,",295,220,Hernani,"Calle Hernani, 59 ,",1,0,23,8,15,-3.6972,40.4481
"General Perón, 4","Avenida del General Perón, 4 ,",152,501,"General Perón, 4","Avenida del General Perón, 4 ,",1,0,23,9,14,-3.6989,40.4525
"General Perón, 4","Avenida del General Perón, 4 ,",205,501,Metro Estrecho,"Calle Navarra, 1 ,",1,0,23,7,16,-3.7032777,40.4535
General Perón,"Avenida del General Perón, 36 ,",153,305,General Perón,"Avenida del General Perón, 36 ,",1,0,23,2,21,-3.6936,40.4523
General Perón,"Avenida del General Perón, 36 ,",154,305,Orense 36,"Calle Orense nº 36,",1,0,24,2,22,-3.6946218,40.4548456
Orense 36,"Calle Orense nº 36,",154,213,Orense 36,"Calle Orense nº 36,",1,0,24,2,22,-3.6946218,40.4548456
Orense 36,"Calle Orense nº 36,",238,213,"San Germán, 5","CalleSan Germán, 5 ,",1,0,24,18,6,-3.6932611,40.4561825
San Germán 57,"Calle San Germán nº 57,",155,441,San Germán 57,"Calle San Germán nº 57,",1,0,23,7,16,-3.700930190178302,40.4573342300643
San Germán 57,"Calle San Germán nº 57,",206,441,Metro Tetuán,"Calle Marqués de Viana, 3 ,",1,0,23,11,12,-3.698915521426396,40.4607466894426
Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",156,237,Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",1,0,24,6,18,-3.691533,40.4592351
Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",157,237,Plaza de Cuzco,"Paseo de la Castellana, 164 ,Comunidad de Madrid España",1,0,23,7,16,-3.6894151,40.4591366
Alberto Alcocer,"Avenida de Alberto Alcocer nº 22,",158,493,Alberto Alcocer,"Avenida de Alberto Alcocer nº 22,",1,0,23,16,7,-3.684625,40.45869
Alberto Alcocer,"Avenida de Alberto Alcocer nº 22,",159,493,Paseo de la Habana 63,"Paseo de la Habana nº 63,",1,0,23,10,13,-3.6835926,40.4543852
Paseo de la Habana 63,"Paseo de la Habana nº 63,",159,439,Paseo de la Habana 63,"Paseo de la Habana nº 63,",1,0,23,10,13,-3.6835926,40.4543852
Paseo de la Habana 63,"Paseo de la Habana nº 63,",148,439,Serrano 210,"Calle Serrano nº 210,",1,0,23,5,18,-3.6813971,40.451117
Metro Colombia,"Calle Colombia, 11 ,",160,419,Metro Colombia,"Calle Colombia, 11 ,",1,0,24,6,18,-3.6763439,40.4572466
Metro Colombia,"Calle Colombia, 11 ,",254,419,Plaza del Perú,"Avenida De Pio XII, 3 ,",1,0,23,5,18,-3.67656,40.461
Metro Carpetana,"Calle del Pinzón, 111 ,",376,475,Metro Carpetana,"Calle del Pinzón, 111 ,",1,0,24,12,12,-3.7405438,40.39229225
Metro Carpetana,"Calle del Pinzón, 111 ,",359,475,El Toboso,"Calle de El Toboso, 115,",1,0,23,6,17,-3.7363397,40.3929901
Metro Abrantes,"Avenida De Abrantes, 55 ,",377,466,Metro Abrantes,"Avenida De Abrantes, 55 ,",1,0,18,12,6,-3.72783615,40.38091762
Metro Abrantes,"Avenida De Abrantes, 55 ,",370,466,Avefría,"Calle de Avefria, 26,",1,0,23,10,13,-3.7308025,40.38386939
Mota del Cuervo,"Calle Mota del Cuervo, 72 ,",539,431,Mota del Cuervo,"Calle Mota del Cuervo, 72 ,",1,0,24,14,10,-3.63135715,40.4648762
Mota del Cuervo,"Calle Mota del Cuervo, 72 ,",535,431,Metro Canillas,"Calle Ramón Power, 2 ,",1,0,27,1,26,-3.634999,40.463575
Metro Campamento,"Calle Seseña, 93 ,",334,325,Metro Campamento,"Calle Seseña, 93 ,",1,0,24,16,8,-3.76815631,40.39497294
